Year,Make,Model,Engine,Oil Type,Oil Capacity
2023,Acura,Integra,Turbo 1.5,0W-20,3.7 qts. with filter
2023,Acura,MDX,3.5,0W-20,5.6 qts. with filter
2023,Acura,MDX,Turbo 3.0,0W-20,5.5 qts. with filter
2023,Acura,RDX,Turbo 2.0,0W-20,5.1 qts. with filter
2023,Acura,TLX,2.0,0W-20,5.1 qts. with filter
2023,Acura,TLX,Turbo 3.0,0W-20,5.5 qts. with filter
2023,Alfa Romeo,Giulia,Turbo 2.0,0W-30,5.5 qts. with filter
2023,Alfa Romeo,Giulia,Turbo 2.9,European Car Formula 5W-40 Synthetic,7.4 qts. with filter
2023,Alfa Romeo,Stelvio,Turbo 2.0,0W-30,5.5 qts. with filter
2023,Alfa Romeo,Stelvio,Turbo 2.9,European Car Formula 5W-40 Synthetic,7.4 qts. with filter
2023,Audi,A3,Turbo 2.0,0W-20,6 qts. with filter
2023,Audi,A3 Quattro,Turbo 2.0,0W-20,6 qts. with filter
2023,Audi,A4 Quattro,Turbo 2.0,0W-20,5.5 qts. with filter
2023,Audi,A5 Quattro,Turbo 2.0,0W-20,5.5 qts. with filter
2023,Audi,A5 Sportback,Turbo 2.0,0W-20,5.5 qts. with filter
2023,Audi,A6 Allroad,Turbo 3.0,0W-20,8 qts. with filter
2023,Audi,A6 Quattro,Turbo 2.0,0W-20,5.5 qts. with filter
2023,Audi,A6 Quattro,Turbo 3.0,0W-20,8 qts. with filter
2023,Audi,A7 Quattro,Turbo 3.0,0W-20,8 qts. with filter
2023,Audi,A7 Sportback,Turbo 2.0,0W-20,5.5 qts. with filter
2023,Audi,A7 Sportback,Turbo 3.0,0W-20,8 qts. with filter
2023,Audi,A8 Quattro,Turbo 3.0,0W-20,8 qts. with filter
2023,Audi,Allroad Quattro,Turbo 2.0,0W-20,5.5 qts. with filter
2023,Audi,Q3,Turbo 2.0,0W-20,6 qts. with filter
2023,Audi,Q5,Turbo 2.0,0W-20 or 5W-40,5.5 qts. with filter
2023,Audi,Q5 PHEV,Turbo 2.0,0W-20,5.5 qts. with filter
2023,Audi,Q5 Sportback,Turbo 2.0,0W-20,5.5 qts. with filter
2023,Audi,Q7,Turbo 2.0,0W-20,5.5 qts. with filter
2023,Audi,Q7,Turbo 3.0,0W-20,8 qts. with filter
2023,Audi,Q8,Turbo 3.0,0W-20,8 qts. with filter
2023,Audi,R8,5.2,0W-30,8.8 qts. with filter
2023,Audi,RS Q8,Turbo 4.0,0W-40,10 qts. with filter
2023,Audi,RS3,Turbo 2.5,0W-30,7.5 qts. with filter
2023,Audi,RS5,Turbo 2.9,0W-30,8 qts. with filter
2023,Audi,RS5 Sportback,Turbo 2.9,0W-30,8 qts. with filter
2023,Audi,RS6 Avant,Turbo 4.0,0W-40,10 qts. with filter
2023,Audi,RS7 Sportback,Turbo 4.0,0W-40,10 qts. with filter
2023,Audi,S3,Turbo 2.0,0W-30,6 qts. with filter
2023,Audi,S4,Turbo 3.0,0W-20,7.7 qts. with filter
2023,Audi,S5,Turbo 3.0,0W-20,7.7 qts. with filter
2023,Audi,S5 Sportback,Turbo 3.0,0W-20,7.7 qts. with filter
2023,Audi,S6,Turbo 2.9,0W-30,8 qts. with filter
2023,Audi,S7 Sportback,Turbo 2.9,0W-30,8 qts. with filter
2023,Audi,S8,Turbo 4.0,0W-30,10 qts. with filter
2023,Audi,SQ5,Turbo 3.0,0W-20,7.7 qts. with filter
2023,Audi,SQ5 Sportback,Turbo 3.0,0W-20,7.7 qts. with filter
2023,Audi,SQ7,Turbo 4.0,0W-40,10 qts. with filter
2023,Audi,SQ8,Turbo 4.0,0W-40,10 qts. with filter
2023,Audi,TT Quattro,Turbo 2.0,0W-20,6 qts. with filter
2023,Audi,TTS Quattro,Turbo 2.0,0W-30,6 qts. with filter
2023,BMW,228I Gran Coupe,Turbo 2.0,0W-20,5.6 qts. with filter
2023,BMW,228I XDrive Gran Coupe,Turbo 2.0,0W-20,5.6 qts. with filter
2023,BMW,230I,Turbo 2.0,0W-20,6.1 qts. with filter
2023,BMW,230I XDrive,Turbo 2.0,0W-20,5.6 qts. with filter
2023,BMW,330E,Turbo 2.0,0W-20,6.1 qts. with filter
2023,BMW,330E XDrive,Turbo 2.0,0W-20,6.1 qts. with filter
2023,BMW,330i,Turbo 2.0,0W-20,6.1 qts. with filter
2023,BMW,330xi,Turbo 2.0,0W-20,6.1 qts. with filter
